"MEASURE","Measure","PROP_TYPE","Property type","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",0.6,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",1.4,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.8,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",0.9,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",0.8,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-1,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.5,,
"2","Percentage change from previous quarter","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",-0.4,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",-0.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.5,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",-0.2,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",-0.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-0.9,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-2.7,,
"3","Percentage change from corresponding quarter of the previous year","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-3.2,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",122.9,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",124,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",123.3,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",124.2,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",125,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",123.6,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",121.7,,
"1","Index Number","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",120.9,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",3.5,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",2.1,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",1.6,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",1.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",1.7,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-0.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.3,,
"3","Percentage change from corresponding quarter of the previous year","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-2.7,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",0.4,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",-1.2,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",0.3,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",0.4,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",-0.2,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-1.4,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.6,,
"2","Percentage change from previous quarter","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.1,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",125.5,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",127.2,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",126.2,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",127.3,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",128.3,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",127,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",125.1,,
"1","Index Number","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",124,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",4.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",2.7,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",2.1,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",2.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-0.2,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-0.9,,
"3","Percentage change from corresponding quarter of the previous year","2","Established houses","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-2.6,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",111.6,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",110.3,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",110.6,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",111,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",110.8,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",109.3,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",107.6,,
"1","Index Number","1","Attached dwellings","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",107.5,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q3","Sep-2017",0.7,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2017-Q4","Dec-2017",0.9,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q1","Mar-2018",-0.6,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q2","Jun-2018",0.7,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q3","Sep-2018",0.6,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2018-Q4","Dec-2018",-1.1,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q1","Mar-2019",-1.5,,
"2","Percentage change from previous quarter","3","Residential property","3GBRI","Greater Brisbane","Q","Quarterly","2019-Q2","Jun-2019",-0.7,,
